"sc-96aae91e-0 href","sc-96aae91e-0","sc-96aae91e-0 2","sc-96aae91e-0 3"
"https://apify.com/dhrumil/propertylink-estatesgazette-scraper","Propertylink Estatesgazette Scraper","dhrumil/propertylink-estatesgazette-scraper","Scrape propertylink.estatesgazette.com to crawl millions of sale/rent real estate properties from United Kingdom. Our real estate scraper also lets you monitor specific listing for new updates/listing. You can provide multiple search result listings to scrape/monitor."
"https://apify.com/bumble/argos","Argos Product Scraper","bumble/argos","Use this Argos scraper to collect data based on URL from the Argos website. Extract product information including prices, descriptions, and Argos Product ID. Download data in various structured formats."
"https://apify.com/serhattsnmz/website-status-monitoring","Website Status Monitoring","serhattsnmz/website-status-monitoring","Monitor your websites and get notifications when they are down."
"https://apify.com/saswave/instagram-discovery-reels-scraper","Instagram Discovery Reels Scraper","saswave/instagram-discovery-reels-scraper","Generate a list of reels from the discovery ""For you"" / ""Following"" page.
Access their data: caption, likes, comments, location, date, instagram id, facebook id, music information
Helps you scale analytics"
"https://apify.com/mshopik/knockaround-scraper","Knockaround Scraper","mshopik/knockaround-scraper","Scrape Knockaround and extract data on eyewear from knockaround.com. Our Knockaround API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/canadesk/apple-app-store-plus","Apple App Store Plus","canadesk/apple-app-store-plus","No limits. Get details and reviews for a specific app, search by keyword or developer, retrieve top rankings, assess permissions and more!"
"https://apify.com/mshopik/olive-piper-scraper","Olive Piper Scraper","mshopik/olive-piper-scraper","Scrape Olive Piper and extract data on clothing accessories from oliveandpiper.com. Our Olive Piper API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/the-chivery-scraper","The Chivery Scraper","mshopik/the-chivery-scraper","Scrape The Chivery and extract data on casual apparel from thechivery.com. Our The Chivery API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/sengled-usa-scraper","Sengled USA Scraper","mshopik/sengled-usa-scraper","Scrape Sengled USA and extract data on lamps and lighting from us.sengled.com. Our Sengled USA API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/asrv-scraper","ASRV Scraper","mshopik/asrv-scraper","Scrape ASRV and extract data on athletic apparel from asrv.co. Our ASRV API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/lukass/cbs-local-scraper","CBS Local Scraper","lukass/cbs-local-scraper","Scrape news data from cbslocal.com with this unofficial API. Extract articles, monitor their popularity and performance and automate the fight against fake news. Filter the results by authors, topics, categories, or publication dates. Preview or download the results in your preferred format."
"https://apify.com/mshopik/astr-the-label-scraper","ASTR The Label Scraper","mshopik/astr-the-label-scraper","Scrape ASTR The Label and extract data on apparel from astrthelabel.com. Our ASTR The Label API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/vici-scraper","VICI Scraper","mshopik/vici-scraper","Scrape VICI and extract data on  from vicicollection.com. Our VICI API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/august-home-scraper","August Home Scraper","mshopik/august-home-scraper","Scrape August Home and extract data on home and garden from august.com. Our August Home API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/jupri/flexjobs-scraper","FlexJobs Scraper","jupri/flexjobs-scraper","Scrape Flexjobs.com"
"https://apify.com/mshopik/sugar-and-cotton-scraper","Sugar Cotton Scraper","mshopik/sugar-and-cotton-scraper","Scrape Sugar Cotton and extract data on clothing accessories from sugarandcotton.com. Our Sugar Cotton API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/beachsissi-scraper","Beachsissi beachsissi Scraper","mshopik/beachsissi-scraper","Scrape Beachsissi beachsissi and extract data on swimwear from beachsissi.com. Our Beachsissi beachsissi API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/dainty_screw/find-broken-links-of-your-website","Broken Link Checker - Ensure Your Website's Integrity","dainty_screw/find-broken-links-of-your-website","Maintain your website's health and user experience with our Broken Link Checker. Easily identify and fix broken links to enhance your site's navigation, improve SEO, and keep visitors engaged."
"https://apify.com/mshopik/jaded-london-scraper","Jaded London Scraper","mshopik/jaded-london-scraper","Scrape Jaded London and extract data on apparel from jadedldn.com. Our Jaded London API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/gallopdataagency/horseauction-extractor","HorseAuction_Extractor","gallopdataagency/horseauction-extractor","This actor extracts data for Horse Auctions from a Data website."
"https://apify.com/mshopik/brave-new-look-scraper","Brave New Look Scraper","mshopik/brave-new-look-scraper","Scrape Brave New Look and extract data on clothing accessories from bravenewlook.com. Our Brave New Look API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/lukaskrivka/print-env-vars","Print env vars","lukaskrivka/print-env-vars","Prints both raw and parsed environment variables provided to each actor run. Stores them to dataset, KV Store and log for easy analysis."
"https://apify.com/mshopik/untuckit-scraper","UNTUCKit Scraper","mshopik/untuckit-scraper","Scrape UNTUCKit and extract data on men's clothing from untuckit.com. Our UNTUCKit API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/snow-peak-scraper","Snow Peak Scraper","mshopik/snow-peak-scraper","Scrape Snow Peak and extract data on recreation from snowpeak.com. Our Snow Peak API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/charming-charlie-scraper","Charming Charlie Scraper","mshopik/charming-charlie-scraper","Scrape Charming Charlie and extract data on children's clothing from charmingcharlie.com. Our Charming Charlie API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/sabo-skirt-scraper","SABO SKIRT Scraper","mshopik/sabo-skirt-scraper","Scrape SABO SKIRT and extract data on women's clothing from saboskirt.com. Our SABO SKIRT API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/urban-industry-scraper","Urban Industry Scraper","mshopik/urban-industry-scraper","Scrape Urban Industry and extract data on casual apparel from urbanindustry.co.uk. Our Urban Industry API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/blenders-eyewear-scraper","Blenders Eyewear Scraper","mshopik/blenders-eyewear-scraper","Scrape Blenders Eyewear and extract data on eyewear from blenderseyewear.com. Our Blenders Eyewear API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/my-childhood-treasures-scraper","My Childhood Treasures Scraper","mshopik/my-childhood-treasures-scraper","Scrape My Childhood Treasures and extract data on fiber and textile arts from treasurie.com. Our My Childhood Treasures API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/stio-scraper","Stio Scraper","mshopik/stio-scraper","Scrape Stio and extract data on apparel from stio.com. Our Stio API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/undefeated-scraper","Undefeated Scraper","mshopik/undefeated-scraper","Scrape Undefeated and extract data on footwear from undefeated.com. Our Undefeated API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/royal-design-studio-stencils-scraper","Royal Design Studio Stencils Scraper","mshopik/royal-design-studio-stencils-scraper","Scrape Royal Design Studio Stencils and extract data on home and interior decor from royaldesignstudio.com. Our Royal Design Studio Stencils API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/paynes-gray-scraper","Paynes Gray Scraper","mshopik/paynes-gray-scraper","Scrape Paynes Gray and extract data on home and interior decor from paynesgray.com. Our Paynes Gray API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/novi/multiple-tiktok-hashtag-api","Multiple Tiktok Hashtag API","novi/multiple-tiktok-hashtag-api","Multiple Tiktok Hashtag API. Allow getting multiple hashtags. Customized for customer."
"https://apify.com/mshopik/american-giant-scraper","American Giant Scraper","mshopik/american-giant-scraper","Scrape American Giant and extract data on apparel from american-giant.com. Our American Giant API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/memo23/cicek-apify","Cicek Apify","memo23/cicek-apify","The Ã‡iÃ§ekSepeti Scraper extracts product data from given URLs, with adjustable page limits, ideal for market research and data analysis."
"https://apify.com/mosaic/compass-scraper","Compass Scraper","mosaic/compass-scraper","Extract data about properties for sale on Compass using the Compass API, but with no daily call limits. Scrape millions of listings and download your data as HTML, JSON, CSV, Excel, XML. Export scraped data, run the scraper via API, schedule and monitor runs, or integrate with other tools."
"https://apify.com/mshopik/fertilizer-grow-organic-scraper","Organic Fertilizerâ€“ Grow Scraper","mshopik/fertilizer-grow-organic-scraper","Scrape Organic Fertilizerâ€“ Grow and extract data on gardening and landscaping from groworganic.com. Our Organic Fertilizerâ€“ Grow API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/bohme-scraper","bÃ¶hme Scraper","mshopik/bohme-scraper","Scrape bÃ¶hme and extract data on clothing accessories from bohme.com. Our bÃ¶hme API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/jupri/homesnap","Homenap Scraper","jupri/homesnap","Scrape property data from Homesnap.com"
"https://apify.com/mshopik/limelightpk-welcome-scraper","Limelightpk Welcome Scraper","mshopik/limelightpk-welcome-scraper","Scrape Limelightpk Welcome and extract data on apparel from limelight.pk. Our Limelightpk Welcome API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/naiise-scraper","Naiise Scraper","mshopik/naiise-scraper","Scrape Naiise and extract data on design from naiise.com. Our Naiise API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/jackwenyoung/boohoo-category-scraper","Boohoo Category Scraper","jackwenyoung/boohoo-category-scraper","It scrapes product details and image urls on boohoo.com based on its categories."
"https://apify.com/mshopik/wwwarcherandolivecom-scraper","www.archerandolive.com Scraper","mshopik/wwwarcherandolivecom-scraper","Scrape www.archerandolive.com and extract data on notebooks and planners from archerandolive.com. Our www.archerandolive.com API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/perci/gateway-pundit-scraper","Gateway Pundit Scraper","perci/gateway-pundit-scraper","Scrape news data from thegatewaypundit.com with this unofficial API. Extract articles, monitor their popularity and performance and automate the fight against fake news. Filter the results by authors, topics, categories, or publication dates. Preview or download the results in your preferred format."
"https://apify.com/mshopik/the-music-zoo-scraper","The Music Zoo Scraper","mshopik/the-music-zoo-scraper","Scrape The Music Zoo and extract data on music equipment and technology from themusiczoo.com. Our The Music Zoo API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/banza-scraper","Banza Scraper","mshopik/banza-scraper","Scrape Banza and extract data on food from eatbanza.com. Our Banza API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/only-natural-pet-scraper","Only Natural Pet Scraper","mshopik/only-natural-pet-scraper","Scrape Only Natural Pet and extract data on pet food and supplies from onlynaturalpet.com. Our Only Natural Pet API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/ec-scraper","EC Scraper","mshopik/ec-scraper","Scrape EC and extract data on food from jayagrocer.com. Our EC API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/biotrust-scraper","BioTRUST Scraper","mshopik/biotrust-scraper","Scrape BioTRUST and extract data on vitamins and supplements from biotrust.com. Our BioTRUST API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/merry_arctic/trader-joes-scraper","Trader Joe's Scraper","merry_arctic/trader-joes-scraper","Scrapes for available products at a specified Trader Joe's store. Includes, price, SKU, product url, product name, and associated tags."
"https://apify.com/useful-tools/actor-builder","Actor Builder","useful-tools/actor-builder","Simple Actor which allows to create another Actors build. Used mostly for integration purposes."
"https://apify.com/thangdx.dev/gio-nguyen-scraper","GiÃ³ Nguyá»…n Scraper","thangdx.dev/gio-nguyen-scraper","www.dinotoys.nl"
"https://apify.com/kuaima/bilibili","Bilibili Homepage Scraper","kuaima/bilibili","This scraper can help you to get list and detail data from home https://www.bilibili.com."
"https://apify.com/mshopik/neighborhood-scraper","NEIGHBORHOOD Scraper","mshopik/neighborhood-scraper","Scrape NEIGHBORHOOD and extract data on apparel from neighborhood.jp. Our NEIGHBORHOOD API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/aymorato/fast-linkedin-ad-library-scraper","Fast LinkedIn Ad Library Scraper","aymorato/fast-linkedin-ad-library-scraper","Easily Scrape LinkedIn's Unlimited Scroll Ad Library without the Need for Proxies."
"https://apify.com/canadesk/builtfirst","Builtfirst","canadesk/builtfirst","Get Software deals from any Builtfirst instance. It's fast and costs little!"
"https://apify.com/dainty_screw/web-scraping-advanced","web scraping advanced","dainty_screw/web-scraping-advanced","web scraping  advanced"
"https://apify.com/crawlr/snowflake-marketplace","Snowflake Marketplace Scraper","crawlr/snowflake-marketplace","Advanced Snowflake Marketplace Scraper built with TypeScript, leveraging Crawlee and Cheerio to efficiently extract and compile comprehensive data product listings from the Snowflake Marketplace for data-driven insights and analytics."
"https://apify.com/mshopik/osear-malibu-scraper","OSEAÂ® Malibu Scraper","mshopik/osear-malibu-scraper","Scrape OSEAÂ® Malibu and extract data on face and body care from oseamalibu.com. Our OSEAÂ® Malibu API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/canadesk/candor","Candor","canadesk/candor","Get Offers, Salary and RSU Data from Candor.co! It's fast and costs little."
"https://apify.com/dainty_screw/seo-audit-tool-pro","Pro SEO Audit Tool - Optimize Your Website for Search Engines","dainty_screw/seo-audit-tool-pro","Elevate your website's search engine ranking with our SEO Audit Tool Pro. Conduct comprehensive SEO audits to identify broken links, missing images, and potential page enhancements. Unlock insights for optimal website performance and visibility."
"https://apify.com/canadesk/ccc-amazon","Amazon (CCC Edition)","canadesk/ccc-amazon","Get Product details and price history from Amazon! It's fast and costs little."
"https://apify.com/mshopik/northern-brewer-scraper","Northern Brewer Scraper","mshopik/northern-brewer-scraper","Scrape Northern Brewer and extract data on alcoholic beverages from northernbrewer.com. Our Northern Brewer API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/1st-phorm-scraper","1st Phorm Scraper","mshopik/1st-phorm-scraper","Scrape 1st Phorm and extract data on vitamins and supplements from 1stphorm.com. Our 1st Phorm API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/mshopik/republic-wireless-scraper","Republic Wireless Scraper","mshopik/republic-wireless-scraper","Scrape Republic Wireless and extract data on mobile and wireless from republicwireless.com. Our Republic Wireless API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/memo23/facebook-page-contact-detail-scraper","Facebook Page Contact Detail Scraper","memo23/facebook-page-contact-detail-scraper","Get Facebook pages addresses, category, email, mobile, likes, website, ratings, hours open,  check-ins, and phone information and social platform links"
"https://apify.com/zuzka/t-online-scraper","T-online Scraper","zuzka/t-online-scraper","Scrape news data from t-online.de with this unofficial API. Extract articles, monitor their popularity and performance and automate the fight against fake news. Filter the results by authors, topics, categories, or publication dates. Preview or download the results in your preferred format."
"https://apify.com/pintostudio/yahoo-finance-historical","Yahoo Finance Historical","pintostudio/yahoo-finance-historical","This Actor retrieves Yahoo Finance Historical data"
"https://apify.com/mshopik/colourpop-scraper","ColourPop Scraper","mshopik/colourpop-scraper","Scrape ColourPop and extract data on make-up and cosmetics from colourpop.com. Our ColourPop API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/bhansalisoft/facebook-number-scraper","Facebook Number Scraper","bhansalisoft/facebook-number-scraper","Facebook Number Scraper- Scrap Number from Facebook specific profile using google search engine"
"https://apify.com/mshopik/organifi-scraper","Organifi Scraper","mshopik/organifi-scraper","Scrape Organifi and extract data on juice from organifishop.com. Our Organifi API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/danek/facebook-pages-details-rental","Facebook Pages Details","danek/facebook-pages-details-rental","Scrap Facebook pages fast and easy. Extract all contact information and other details in no-time!"
"https://apify.com/mshopik/wwwvaporcom-scraper","www.vapor.com Scraper","mshopik/wwwvaporcom-scraper","Scrape www.vapor.com and extract data on smoking and vaping from vapor.com. Our www.vapor.com API lets you crawl product information and pricing. The saved data can be downloaded as HTML, JSON, CSV, Excel, and XML."
"https://apify.com/jupri/priceline-hotel-scraper","Priceline Hotel Scraper","jupri/priceline-hotel-scraper","Scrape Priceline.com Hotels"